STAGE = 25
MACHINE = [5, 5, 5, 4, 5, 3, 2, 2, 5, 5, 2, 5, 5, 3, 3, 3, 4, 2, 4, 2, 4, 4, 5, 2, 4]
JOB_NUM = 20
PROCESSING_SCHEDULE = 
  JOB0  [73, 91, 78, 95, 75, 57, 43, 29, 87, 67, 47, 43, 54, 68, 65, 35, 68, 21, 96, 59, 24, 57, 33, 48, 21]
  JOB1  [40, 87, 30, 77, 53, 95, 48, 52, 45, 83, 70, 90, 46, 89, 94, 21, 21, 61, 74, 82, 79, 91, 51, 89, 100]
  JOB2  [65, 82, 76, 59, 73, 84, 20, 82, 42, 67, 92, 60, 57, 26, 25, 74, 78, 89, 40, 20, 43, 41, 31, 46, 20]
  JOB3  [80, 48, 83, 24, 45, 22, 98, 70, 54, 66, 87, 69, 99, 84, 51, 64, 52, 44, 86, 56, 100, 21, 85, 37, 51]
  JOB4  [100, 20, 87, 82, 100, 34, 23, 45, 31, 99, 55, 46, 67, 55, 55, 57, 28, 27, 41, 41, 63, 91, 60, 80, 37]
  JOB5  [29, 84, 47, 41, 39, 58, 71, 21, 48, 46, 48, 24, 56, 94, 66, 93, 81, 48, 71, 36, 71, 86, 86, 41, 51]
  JOB6  [45, 46, 58, 46, 38, 72, 80, 41, 22, 37, 69, 62, 52, 36, 55, 23, 82, 65, 88, 57, 40, 34, 59, 47, 70]
  JOB7  [72, 84, 51, 40, 62, 99, 34, 74, 22, 81, 24, 73, 77, 67, 94, 89, 94, 51, 94, 78, 38, 67, 97, 39, 51]
  JOB8  [28, 59, 37, 45, 20, 86, 92, 48, 100, 95, 47, 30, 72, 49, 74, 46, 32, 86, 78, 63, 39, 54, 32, 91, 43]
  JOB9  [72, 94, 70, 49, 54, 46, 85, 65, 20, 60, 37, 68, 55, 81, 67, 90, 27, 59, 55, 97, 72, 20, 37, 90, 69]
  JOB10  [41, 82, 94, 35, 88, 22, 24, 44, 75, 44, 40, 54, 75, 56, 93, 29, 67, 92, 72, 37, 73, 26, 85, 36, 22]
  JOB11  [100, 96, 27, 57, 81, 87, 98, 35, 74, 64, 27, 95, 46, 42, 44, 44, 95, 84, 69, 47, 75, 57, 22, 99, 48]
  JOB12  [64, 50, 67, 42, 86, 90, 82, 74, 72, 30, 89, 37, 88, 36, 78, 24, 63, 91, 32, 47, 60, 30, 68, 52, 24]
  JOB13  [89, 93, 88, 30, 60, 30, 20, 21, 89, 27, 63, 48, 20, 33, 62, 97, 23, 94, 64, 58, 34, 74, 96, 66, 70]
  JOB14  [46, 62, 36, 80, 20, 74, 78, 20, 55, 99, 64, 91, 61, 46, 54, 45, 79, 44, 25, 60, 85, 83, 31, 26, 97]
  JOB15  [65, 70, 57, 25, 69, 62, 31, 31, 37, 36, 86, 36, 52, 20, 74, 63, 76, 79, 62, 81, 59, 33, 27, 67, 52]
  JOB16  [87, 55, 68, 84, 85, 41, 51, 40, 96, 47, 25, 51, 24, 46, 30, 56, 71, 59, 87, 84, 20, 57, 58, 93, 93]
  JOB17  [92, 78, 77, 35, 99, 22, 42, 43, 28, 85, 96, 39, 40, 86, 39, 39, 29, 88, 94, 37, 41, 61, 90, 88, 60]
  JOB18  [37, 95, 85, 85, 63, 42, 78, 68, 86, 47, 58, 97, 81, 83, 26, 49, 53, 52, 56, 88, 70, 59, 84, 94, 63]
  JOB19  [91, 84, 45, 79, 48, 39, 65, 80, 84, 44, 23, 72, 31, 30, 73, 65, 100, 59, 53, 93, 62, 33, 71, 65, 76]
T_START = [408.0, 496.0, 404.0, 366.0, 289.0, 430.0, 349.0, 354.0, 303.0, 428.0, 401.0, 391.0, 346.0, 293.0, 402.0, 386.0, 280.0, 272.0, 374.0, 452.0, 264.0, 290.0, 253.0, 505.0, 280.0]
T_END = [842.0, 759.0, 769.0, 666.0, 654.0, 720.0, 628.0, 649.0, 700.0, 673.0, 608.0, 699.0, 692.0, 609.0, 817.0, 761.0, 817.0, 866.0, 722.0, 757.0, 585.0, 720.0, 758.0, 686.0, 671.0]
D_RATE = [0.24, 0.28, 0.26, 0.27, 0.12, 0.11, 0.18, 0.17, 0.13, 0.3, 0.24, 0.22, 0.16, 0.15, 0.22, 0.17, 0.22, 0.27, 0.29, 0.25, 0.24, 0.22, 0.25, 0.27, 0.11]
IT_D = [0.21, 0.19, 0.22, 0.28, 0.16, 0.13, 0.28, 0.2, 0.16, 0.3, 0.21, 0.14, 0.24, 0.22, 0.22, 0.18, 0.18, 0.21, 0.13, 0.28, 0.24, 0.27, 0.15, 0.23, 0.28]
IDLING_CONSUME = [0.28, 0.19, 0.11, 0.21, 0.2, 0.1, 0.18, 0.27, 0.19, 0.12, 0.29, 0.17, 0.15, 0.25, 0.2, 0.29, 0.15, 0.24, 0.25, 0.26, 0.1, 0.19, 0.18, 0.15, 0.26]
