STAGE = 29
MACHINE = [2, 4, 5, 5, 2, 2, 3, 2, 3, 5, 2, 2, 2, 2, 2, 4, 5, 5, 5, 5, 3, 3, 2, 5, 2, 2, 2, 5, 5]
JOB_NUM = 20
PROCESSING_SCHEDULE = 
  JOB0  [83, 44, 95, 77, 32, 64, 60, 25, 72, 85, 27, 91, 66, 42, 81, 57, 68, 79, 76, 31, 54, 61, 96, 35, 56, 97, 82, 87, 28]
  JOB1  [32, 74, 64, 53, 78, 56, 77, 44, 64, 28, 28, 55, 60, 53, 26, 55, 87, 31, 80, 31, 87, 98, 54, 90, 31, 21, 53, 79, 43]
  JOB2  [46, 46, 85, 81, 66, 35, 64, 39, 66, 64, 42, 49, 58, 59, 21, 45, 20, 21, 67, 54, 98, 29, 90, 66, 90, 80, 80, 100, 90]
  JOB3  [72, 93, 34, 20, 69, 92, 44, 88, 99, 64, 30, 24, 34, 98, 98, 65, 63, 93, 61, 32, 49, 42, 30, 66, 66, 76, 36, 36, 91]
  JOB4  [49, 68, 59, 62, 50, 43, 72, 60, 63, 76, 33, 42, 67, 62, 23, 22, 81, 36, 56, 30, 73, 53, 37, 72, 96, 55, 72, 52, 95]
  JOB5  [21, 76, 44, 100, 53, 65, 58, 80, 27, 97, 31, 37, 99, 85, 56, 29, 68, 92, 71, 85, 97, 50, 37, 28, 56, 67, 66, 90, 72]
  JOB6  [83, 77, 20, 80, 86, 97, 33, 53, 51, 22, 47, 38, 61, 28, 51, 94, 61, 96, 52, 78, 77, 97, 60, 63, 75, 88, 23, 55, 71]
  JOB7  [42, 57, 80, 39, 93, 27, 23, 27, 86, 54, 23, 93, 95, 33, 44, 42, 21, 51, 37, 73, 55, 79, 83, 39, 42, 51, 72, 82, 81]
  JOB8  [59, 20, 45, 72, 78, 75, 70, 73, 52, 21, 90, 45, 42, 50, 25, 29, 34, 85, 98, 21, 38, 49, 93, 41, 62, 38, 65, 90, 69]
  JOB9  [60, 61, 52, 72, 84, 21, 37, 61, 65, 45, 39, 59, 78, 20, 30, 35, 99, 73, 38, 31, 79, 73, 96, 52, 68, 58, 61, 37, 77]
  JOB10  [59, 52, 97, 56, 75, 93, 78, 63, 80, 98, 46, 29, 88, 53, 73, 23, 40, 22, 78, 41, 77, 87, 58, 45, 45, 100, 57, 68, 31]
  JOB11  [80, 51, 100, 34, 96, 67, 81, 56, 64, 98, 87, 43, 67, 96, 97, 79, 40, 45, 79, 73, 73, 66, 75, 55, 84, 40, 54, 92, 96]
  JOB12  [92, 20, 83, 85, 84, 72, 36, 82, 61, 87, 51, 31, 32, 88, 83, 32, 20, 38, 32, 52, 90, 21, 42, 68, 66, 46, 30, 37, 75]
  JOB13  [65, 34, 26, 92, 57, 45, 30, 87, 39, 76, 42, 65, 24, 49, 78, 26, 46, 84, 85, 47, 30, 30, 48, 36, 22, 86, 35, 47, 63]
  JOB14  [68, 74, 32, 33, 52, 29, 62, 75, 24, 63, 88, 95, 87, 85, 97, 24, 33, 55, 47, 42, 95, 70, 32, 65, 81, 96, 25, 48, 87]
  JOB15  [78, 40, 29, 92, 20, 63, 46, 97, 78, 50, 52, 28, 79, 39, 20, 93, 57, 81, 23, 51, 38, 97, 35, 90, 84, 51, 66, 88, 24]
  JOB16  [90, 30, 56, 28, 38, 47, 26, 47, 32, 47, 70, 28, 94, 38, 96, 71, 56, 22, 79, 47, 84, 60, 59, 75, 27, 100, 80, 92, 91]
  JOB17  [90, 63, 79, 37, 59, 71, 85, 54, 44, 95, 97, 58, 69, 89, 21, 78, 23, 34, 48, 62, 70, 60, 95, 75, 44, 41, 97, 79, 32]
  JOB18  [41, 25, 80, 71, 92, 49, 92, 78, 63, 96, 60, 62, 82, 36, 43, 22, 78, 69, 45, 38, 44, 80, 66, 80, 91, 40, 79, 62, 27]
  JOB19  [27, 86, 34, 91, 42, 89, 62, 23, 21, 39, 81, 68, 92, 87, 35, 75, 62, 91, 30, 69, 27, 36, 75, 85, 23, 53, 79, 53, 99]
T_START = [309.0, 371.0, 275.0, 510.0, 404.0, 396.0, 341.0, 351.0, 357.0, 365.0, 223.0, 333.0, 495.0, 321.0, 231.0, 378.0, 381.0, 419.0, 461.0, 217.0, 280.0, 483.0, 328.0, 343.0, 399.0, 360.0, 315.0, 330.0, 429.0]
T_END = [680.0, 622.0, 704.0, 778.0, 730.0, 636.0, 716.0, 836.0, 599.0, 692.0, 543.0, 686.0, 701.0, 762.0, 560.0, 697.0, 592.0, 695.0, 615.0, 652.0, 788.0, 768.0, 694.0, 809.0, 701.0, 758.0, 630.0, 866.0, 939.0]
D_RATE = [0.23, 0.16, 0.24, 0.12, 0.12, 0.25, 0.16, 0.12, 0.11, 0.14, 0.26, 0.13, 0.22, 0.19, 0.13, 0.29, 0.12, 0.15, 0.15, 0.12, 0.25, 0.13, 0.17, 0.16, 0.22, 0.27, 0.27, 0.21, 0.1]
IT_D = [0.28, 0.26, 0.11, 0.17, 0.26, 0.23, 0.23, 0.21, 0.14, 0.11, 0.13, 0.29, 0.24, 0.3, 0.15, 0.12, 0.16, 0.18, 0.22, 0.22, 0.24, 0.2, 0.29, 0.19, 0.11, 0.23, 0.22, 0.23, 0.24]
IDLING_CONSUME = [0.13, 0.25, 0.26, 0.24, 0.26, 0.28, 0.16, 0.2, 0.2, 0.1, 0.3, 0.26, 0.28, 0.15, 0.12, 0.19, 0.19, 0.15, 0.21, 0.14, 0.29, 0.23, 0.29, 0.12, 0.16, 0.28, 0.1, 0.24, 0.13]
